"International_data"
"https://www.eia.gov/beta/international/data/browser/#/?c=ruvvvvvfvtvnvv1vrvvvvfvvvvvvfvvvou20evvvvvvvvvvvvuvs&ct=0&vs=INTL.44-1-AFG-QBTU.A&vo=0&v=H&end=2014"
"Wed Oct 11 2017 10:21:53 GMT+0300 (EEST)"
"Source: U.S. Energy Information Administration"
,,,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014
"","Congo (Brazzaville)","Quad Btu",0.011442684,0.013693028,0.012716912,0.010927384,0.01200586,0.017286608,0.01476,0.0183412,0.0153412,0.017208132,0.019047768,0.0172559,0.0163412,0.0153412,0.0143412,0.0153412,0.0153412,0.0153412,0.0133412,0.0126824,0.0130236,0.0160236,0.0153648,0.0173648,0.0183648,0.026935865,0.028052524,0.034813476,0.040143466,0.0486928,0.073114828,0.076699752,0.083382432,0.103295145,0.1
"","Congo (Kinshasa)","Quad Btu",0.08869292,0.089706568,0.091696332,0.095689508,0.093682684,0.095341484,0.100327836,0.096327836,0.106669036,0.10999346,0.104805516,0.100665624,0.110912424,0.106404036,0.09343446,0.103079896,0.1039056,0.0946352,0.08982286,0.08842394,0.087745236,0.079946544,0.07763264,0.077574636,0.091226612,0.094505113,0.0955247322,0.100997616,0.09798194,0.100698536,0.109945136,0.1190246957,0.119437296,0.129735393,0.165
"","Cook Islands","Quad Btu",0.000417,0.000837,0.000823,0.00083,0.00083,0.000828,0.000758592336658,0.000758592336658,0.00075651968,0.000668419763507,0.000668419763507,0.000557823894,0.00066762768,0.000668112565,0.000669451363507,0.00066762468,0.00066762748,0.000669441063507,0.000669439463507,0.000669442363507,0.00080083927,1.0333E-006,1.0173E-006,1.0241E-006,1.30286E-006,0.00097930783,0.00100128947,0.00096029652,0.00100029562,0.0010002928,0.001,0.001,0.001,0.001,0.001
"","Costa Rica","Quad Btu",0.0561038800329,0.0581045300262,0.0557633400463,0.060409436182,0.058746424,0.059903162,0.05844566,0.06478659,0.069840232,0.075348024,0.0746824,0.07910436,0.093877592,0.101095755,0.103010476,0.105561144,0.10669276,0.119557544,0.121979029,0.133703116,0.140542481,0.145141728,0.152952589,0.155809168,0.162497996,0.160530982,0.17371909768,0.18048300604,0.19063149,0.182071764,0.185161612,0.186278144,0.18928084,0.189714511,(s)
"","Cote dIvoire (IvoryCoast)","Quad Btu",0.074,0.081,0.076,0.074,0.066,0.077,0.078,0.087,0.091,0.091,0.078,0.066,0.064,0.071,0.075,0.080116008,0.10077168,0.09472448,0.0969528,0.1255644,0.1329056,0.1099056,0.1065408,0.1075644,0.1142232,0.113458601,0.114195125,0.118949572,0.13463465,0.129644912,0.126121724,0.122659804,0.1324644,0.152021138,(s)
"","Croatia","Quad Btu",--,--,--,--,--,--,--,--,--,--,--,--,0.314956852,0.317033162,0.337345096,0.34799356,0.344245,0.350327226,0.370428585,0.374209252,0.369658201,0.379587533,0.3695772,0.3886008,0.404296132,0.402216054,0.404508446,0.395275444,0.400331058,0.391110996,0.394717156,0.34814462,0.352835672,0.367820833,(s)
"","Cuba","Quad Btu",0.453614978316,0.460941297155,0.499773988866,0.457934931128,0.473846,0.482804971,0.498815268,0.489275096,0.496486698,0.503844992,0.499,0.462,0.40782736,0.402835029,0.410505484,0.418752776,0.42897196,0.472,0.448978912,0.4550010226,0.4589089091,0.4657760083,0.4660111903,0.4630112651,0.518879651784,0.4496809319,0.3549284184,0.370237338424,0.3480052086,0.411873968,0.3964692136,0.410557552,0.407480396,0.402880866,(s)
"","Cyprus","Quad Btu",0.042,0.036,0.039,0.043,0.043,0.045,0.047,0.053,0.053,0.065,0.069,0.069,0.081,0.081,0.092,0.092,0.09,0.092,0.099,0.104,0.102,0.111,0.109,0.11,0.116,0.119009999,0.123009919,0.125009884,0.13,0.125,0.12,0.118,0.111,0.098,(s)
"","Czech Republic","Quad Btu",--,--,--,--,--,--,--,--,--,--,--,--,--,1.71686418065,1.6496646006,1.6923941892,1.752,1.716588,1.6501288,1.558764,1.6378564,1.6742448,1.669782346,1.763448964,1.79923782,1.78769772,1.798552642,1.772972561,1.766872232,1.688252767,1.732622279,1.692462804,1.682811421,1.6492018584,1.648
"","Denmark","Quad Btu",0.830217240099,0.693431243081,0.70011671213,0.672961601092,0.68507708,0.754614889,0.771644134,0.773490951,0.758001968,0.715875744,0.724714094,0.786788536,0.757913976,0.798372743,0.841962828,0.85857976,0.94633406,0.902627647,0.88360096581,0.867479632,0.849363431,0.860252457,0.829170509,0.860525107,0.839030876,0.822921003,0.872585755,0.852035352,0.81957754,0.771448408,0.8116139,0.774699744,0.736936076,0.742049494,(s)
"","Djibouti","Quad Btu",0.022,0.018,0.018,0.013,0.011,0.011,0.01,0.01,0.01,0.023,0.023,0.024,0.024,0.024,0.024,0.024,0.024,0.024,0.024,0.024,0.025,0.025,0.025,0.026,0.026,0.026,0.024,0.023,0.017,0.017,0.017,0.017,0.017,0.013,0.013
"","Dominica","Quad Btu",0.00047649202961,0.0006145300262,0.00060408604167,0.000667800273,0.00067904,0.000726258,0.000717713994411,0.000772712846301,0.00096279233,0.00101163641019,0.00101115641019,0.00101170041019,0.00100788842,0.001050643145,0.001175372,0.001195928,0.00119646,0.00120426,0.001275319,0.001327232,0.001326432,0.001278991,0.00230519,0.002293625,0.002340544,0.001269973,0.002267813,0.002207564,0.00219708,0.00222936,0.002229266,0.002344918,0.002247416,0.002343476,(s)
"","Dominican Republic","Quad Btu",0.0877687122435,0.0857735221939,0.0918572283797,0.107957321656,0.093,0.100511903,0.107511854,0.12052095,0.131289072,0.127323392,0.138270452,0.136271336,0.140279234,0.133360815,0.14546422,0.158422792,0.1724136,0.181490224,0.186326304,0.212378362,0.234387638,0.243392654,0.251396747,0.266460845,0.26170154,0.270128087,0.276645901,0.288188276,0.306923702,0.2765668,0.284307174,0.294157708,0.313290572,0.317290097,(s)
"","Ecuador","Quad Btu",0.186044356,0.19303412,0.211,0.197,0.208,0.22,0.238,0.235,0.243,0.238,0.253,0.267,0.299,0.288,0.315,0.309,0.333,0.343,0.351,0.3370853,0.36906824,0.3920853,0.40018766,0.414524596,0.44933978,0.47745781996,0.505371261,0.53424826552,0.558833112,0.575005788,0.59169004,0.61919072,0.645902736,0.679829981,(s)
"","Egypt","Quad Btu",0.707,0.822,0.917,1.052000526,1.152000522,1.21500052235,1.2440010446,1.2940010419,1.3060010324,1.3500010432,1.4290010402,1.4300010436,1.4270010342,1.5130113399,1.5671041916,1.6031051824,1.732105468,1.8001041726,1.8561040094,1.9312474692,2.0166608402,2.2379784666,2.2702724346,2.4442724482,2.5946136044,2.7585149458,2.6007347198,2.785847864,3.174170738,3.23209362,3.30771898,3.400800976,3.670317184,3.600237669,3.49
"","El Salvador","Quad Btu",0.0450623280197,0.0412717780681,0.0412090800926,0.0432735204732,0.04525056,0.044250728,0.048571852,0.046204419,0.051264572,0.051253584,0.053225266,0.053184036,0.060477342,0.062424183,0.068345012,0.084952688,0.085271524,0.086494257,0.099364187,0.104258798,0.10093362,0.105434599,0.103414594,0.114443481,0.111030734,0.117497255,0.121418307,0.123244628,0.125727306,0.118344468,0.124333692,0.126478644,0.127994052,0.12477733,0.127
"","Equatorial Guinea","Quad Btu",0.00084677600658,0.00084490600524,0.00102090800926,0.0010210400364,0.00102088,0.001020894,0.001020892,0.001020838,0.001020648,0.002020864,0.002020804,0.002020872,0.002020684,0.002020618,0.002020632,0.002020624,0.00202068,0.002030639,0.0027700871,0.0027701741,0.004020402,0.003020666,0.049050865,0.050070875,0.006070112,0.050069993,0.050069433,0.059069188,0.066068978,0.06306832,0.068068292,0.070068012,0.068066612,0.064066787,(s)
"","Eritrea","Quad Btu",--,--,--,--,--,--,--,--,--,--,--,--,--,--,0.014,0.015,0.016,0.016010213,0.017010197,0.014010226,0.009010201,0.011010333,0.010010173,0.011010241,0.010010022,0.010009999,0.010019838,0.01,0.006,0.007,0.01,0.007,0.008,0.008,0.008
"","Estonia","Quad Btu",--,--,--,--,--,--,--,--,--,--,--,--,0.117750742,0.093233509,0.090277748,0.078352896,0.08700158,0.092700343,0.114808549,0.088126642,0.084123019,0.094466727,0.09791679,0.094993617,0.099459588,0.085623393,0.09473047,0.09317614,0.094419964,0.084656744,0.081082616,0.07930162,0.092412252,0.088976353,(s)
"","Ethiopia","Quad Btu",0.03,0.03,0.034,0.039,0.038,0.046,0.045,0.05,0.049,0.052,0.053,0.046,0.062,0.059,0.044,0.048,0.039,0.04,0.052265122,0.06120452,0.065051005,0.0690010333,0.074,0.081,0.085,0.091047195,0.102998694,0.112121284,0.132291558,0.13028688,0.1378044,0.165563068,0.185658396,0.2070647,(s)
"","Falkland Islands (Islas Malvinas)","Quad Btu",0.000172,0.000173,0.000173,0.000173,0.000174,0.000215,0.000216050231178,0.000216050231178,0.00043273243,0.000393519279288,0.000349945725863,0.000349945725863,0.00034898959,0.00034813481,0.000349945725863,0.000393519279288,0.00043762678,0.000482399310904,0.000393894905589,0.000393894905589,0.00039485889,2.0666E-006,2.0346E-006,2.56025E-006,2.5055E-006,0.00052568194,0.00057036159,0.0006529652,0.000682552851391,0.00067418949,0.00065466949,0.00065466949,0.000656463105041,0.00061121499,(s)
"","Faroe Islands","Quad Btu",0.00650901216121,0.00051219712838,0.00051224622687,0.0005154808918,0.00051156,0.000511903,0.007511854,0.008510531,0.008640088,0.009740672,0.009769748,0.008772264,0.008858386,0.008756917707,0.00977994118,0.00977927784,0.00972528896,0.009772266208,0.009785648259,0.00971597339,0.009773082785,0.009782197767,0.010977503224,0.010889555063,0.011011180286,0.011083071682,0.012139812128,0.011177836744,0.01106314806,0.01103931312,0.01078789456,0.011039612,0.01104676,0.010059051,(s)
"","Fiji","Quad Btu",0.015,0.015,0.015,0.0125154808918,0.01401044,0.014010447,0.01720892,0.01520838,0.01420648,0.01620864,0.01820804,0.01620872,0.01620684,0.01720618,0.01720632,0.01820624,0.0192068,0.01920446426,0.0182049597,0.0212055426,0.0232050401,0.0262076933,0.0302044773,0.0352058441,0.0402014422,0.0385906409,0.0405817509,0.040317592,0.03507481,0.0236848,0.02309752,0.023479076,0.024062512,0.036075812,(s)
"","Finland","Quad Btu",0.9260944,0.8718476,0.8661888,0.8683776,0.9087424,0.9200364,0.9544484,1.0291072,1.0332488,1.0430256,1.0881672,1.106918036,1.112691826,1.109982745,1.158601728,1.109007744,1.12574848,1.141115034,1.199976328,1.1873609,1.21173648,1.219546376,1.227909418,1.279032895,1.307762444,1.23574754805,1.29536993573,1.29730347284,1.27880316135,1.19392770247,1.26610506836,1.20944534502,1.20410135882,1.19578039537,(s)
"","Former Czechoslovakia","Quad Btu",2.9538004,2.9281652,2.8751416,2.8881888,2.8945536,2.9302832,2.9747768,3.0676008,2.990236,2.9888948,2.9606952,2.6762596,2.4291996,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
"","Former Serbia and Montenegro","Quad Btu",--,--,--,--,--,--,--,--,--,--,--,--,0.6620944,0.5466588,0.551,0.471,0.7423176,0.755095536,0.7756588,0.6251416,0.624648,0.6605772,0.7382832,0.7345536,0.7523176,--,--,--,--,--,--,--,--,--,--
"","Former U.S.S.R.","Quad Btu",48.4971956,48.8913716,50.9293716,52.0105476,54.9751356,57.3237108,59.1730992,60.5616744,62.550344,61.754027232,62.609684854,59.268713484,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
"","Former Yugoslavia","Quad Btu",1.9716352,2.1147768,2.193824,2.2527532,2.6142468,2.7263884,2.7253648,2.7863648,2.803882,2.8296352,2.7226352,2.5129872,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
"","France","Quad Btu",8.398648,7.79394,7.758058,7.9152556,8.1260648,8.293818,8.4813588,8.6167108,8.7331444,8.8850372,9.0944364,9.71387,9.819046,9.784865018,9.77707198,10.04287036,10.38969158,10.315602743,10.54235514,10.696422362,10.818333877,11.086278,10.9622524,11.039808,11.2465032,11.3390576656,11.3740436064,11.19178996,11.2833323062,10.6850047094,10.9353907613,10.7127150423,10.5415893946,10.5921108481,10.231
"","French Guiana","Quad Btu",0.005,0.004,0.006,0.006,0.005,0.005,0.005,0.006,0.007,0.008,0.01,0.011,0.009,0.012,0.012,0.013,0.013,0.013,0.014,0.014,0.014,0.019,0.02,0.021,0.02,0.021159384,0.021338241,0.020553092,0.019789406,0.01791008,0.021190172,0.0173154,0.015872192,0.0167705,0.016
"","French Polynesia","Quad Btu",0.003,0.005,0.006,0.0081683202912,0.01225056,0.011334304,0.01436561,0.014364665,0.014598792,0.014667648,0.013717738,0.013772264,0.01293078,0.012969046,0.010990336,0.011,0.011,0.011,0.012,0.010889662,0.011,0.011,0.011,0.014,0.014,0.014769823,0.015963962,0.01617448,0.017059486,0.01703008,0.017663388,0.016661436,0.016513044,0.015412068,0.016
"","Gabon","Quad Btu",0.029,0.032,0.03,0.042,0.037,0.032,0.029,0.033,0.036,0.043,0.043031206,0.044083488,0.045082736,0.043082472,0.045092844,0.042092808,0.04407238,0.046071491,0.044071379,0.040071582,0.037071407,0.038072331,0.037071211,0.038071687,0.040070154,0.039109189,0.042353617,0.0449072,0.049799622,0.05221344,0.049848692,0.049171156,0.060640528,0.064529561,(s)
"","Gambia, The","Quad Btu",0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.004,0.004,0.004,0.004,0.004,0.004,0.005,0.006,0.006,0.006,0.007,0.006,0.006,0.007,0.007
"","Georgia","Quad Btu",--,--,--,--,--,--,--,--,--,--,--,--,0.323412,0.1967296,0.1530708,0.1507296,0.1580236,0.1056824,0.1646588,0.143,0.1370236,0.1260236,0.1433648,0.1310708,0.1354356,0.151326378,0.13929557,0.168041424,0.175465656,0.17696406,0.189168268,0.17734604,0.18334576,0.207237716,0.215
"","Germany","Quad Btu",--,--,--,--,--,--,--,--,--,--,--,14.617598436,14.227569368,14.111442927,13.961896212,14.211132184,14.33265208,14.102359834,14.013944895,13.82071878,13.82184806,14.161648,14.00612,13.901764,13.9957660044,13.8201325475,14.0119277068,13.4874949836,13.8482154675,13.1133443438,13.6718470105,13.0903732893,13.1910567063,13.3390673769,(s)
"","Germany, East","Quad Btu",4.570118,4.5791416,4.6450944,4.6554356,5.0170236,5.1423412,5.155412,5.1009656,5.0538004,4.9090708,4.205412,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
"","Germany, West","Quad Btu",11.084472,10.580296,10.346884,10.219532,10.181648,10.653236,10.88806,10.936648,11.015432648,10.778020864,10.956629608,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
"","Ghana","Quad Btu",0.0866352,0.083294,0.083294,0.0553176,0.0509764,0.0579764,0.0779764,0.0849764,0.0929764,0.1029764,0.100331248,0.104327836,0.113990048,0.110990048,0.1149764,0.11618112,0.12419818,0.12185698,0.095706,0.116,0.1426824,0.1426824,0.1313648,0.1250236,0.1446824,0.149324939,0.149752897,0.133116828,0.153537226,0.172555832,0.198396896,0.23964294,0.245193772,0.261444551,(s)
"","Gibraltar","Quad Btu",0.007,0.008,0.007,0.006,0.005,0.012,0.019,0.019,0.025,0.020996588,0.021996588,0.022996588,0.039996588,0.04098294,0.042,0.042,0.042,0.042,0.048,0.042,0.094,0.051,0.052,0.054,0.055,0.056,0.058,0.06,0.057,0.063,0.114,0.121,0.122,0.174,0.132
"","Greece","Quad Btu",0.713258744,0.691061132,0.671562412,0.668373616,0.68476884,0.7213884,0.7474356,0.806068038,0.85807522,0.903375232,0.936409204,0.953068072,0.976129936,0.995162551,1.023530508,1.060080208,1.10516972,1.119215268,1.18817299,1.1956824,1.265,1.28353,1.3058948,1.3851652,1.381904822,1.396572392,1.443936857,1.45821172,1.434532162,1.370139936,1.31210688,1.26992748,1.171719488,1.090756128,1.087
"","Greenland","Quad Btu",0.008,0.007,0.007,0.005,0.008,0.007,0.005,0.003,0.008,0.007,0.008,0.008,0.007,0.007,0.007,0.007,0.007,0.007,0.008,0.008,0.008,0.008,0.008,0.008,0.008,0.008,0.008,0.012,0.012,0.011,0.014,0.015,0.015,0.01,0.01
"","Grenada","Quad Btu",0.000669,0.000766,0.000851,0.000829,0.000853,0.000878,0.000975059647397,0.001,0.001,0.001,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.003,0.003,0.003,0.002,0.003,0.003,0.003,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.005,0.005
"","Guadeloupe","Quad Btu",0.007,0.01,0.013,0.013,0.015,0.013,0.01331338,0.01531257,0.01730972,0.01931296,0.02031206,0.02131308,0.02031026,0.0233164863,0.0243167012,0.0243165784,0.02432054,0.024357455,0.02440788,0.02440904,0.02651005,0.02651665,0.02761038,0.02951205,0.0295011,0.03149985,0.03248785,0.0364826,0.0374781,0.031464,0.0309756,0.03,0.031,0.035,0.035
"","Guam","Quad Btu",0.053,0.074,0.058,0.055,0.019,0.009,0.016,0.011,0.011,0.011,0.026,0.029,0.035,0.047,0.066,0.05,0.045,0.051,0.042,0.047,0.039,,,,,,,,,0.04,0.036,0.032,0.034,0.029,0.033
"","Guatemala","Quad Btu",0.067,0.0565644621415,0.0576690562963,0.062578601001,0.05360552,0.060605926,0.065605868,0.065677235,0.071784624,0.074928448,0.08,0.078,0.086,0.093,0.103,0.10911942,0.112993176,0.12276116,0.142176254,0.1569764,0.1556116,0.17430054,0.16682286,0.184740972,0.186433892,0.194018898,0.199155346,0.20623958076,0.194100748,0.209109036,0.20414084,0.2071568,0.213563712,0.220908584,(s)
"","Guinea","Quad Btu",0.014,0.014,0.014,0.014,0.014,0.013,0.016,0.017,0.017,0.017,0.022,0.018,0.018,0.018,0.019,0.019,0.019,0.02,0.02,0.021,0.022,0.024,0.024,0.022,0.023,0.023889511,0.023523064,0.023268172,0.024163496,0.02404592,0.023702392,0.02405232,0.0242338,0.03815214,0.038
"","Guinea-Bissau","Quad Btu",0.001,0.001,0.001,0.001,0.002,0.002,0.001,0.003,0.003,0.003,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.006,0.005,0.006,0.006,0.006,0.006,0.005,0.005
"","Guyana","Quad Btu",0.0210519400164,0.0240522650131,0.0200522700232,0.017052600091,0.0200522,0.020052235,0.01905223,0.015052095,0.01505162,0.01005216,0.00905201,0.01105218,0.01211995,0.015092489,0.01510276,0.0131198,0.01410288,0.015098833,0.020061182,0.021061356,NA,NA,NA,NA,NA,NA,NA,NA,0.023,0.023,0.022,0.023,0.023,0.028,0.028
"","Haiti","Quad Btu",0.0151142680362,0.0101149830288,0.0151149940509,0.0131157202002,0.01311484,0.015146258,0.014198474,0.020156285,0.02215486,0.02115648,0.014166432,0.013166976,0.014,0.012,0.01,0.016,0.018,0.022,0.022,0.024,0.024,0.026,0.027,0.027,0.027,0.027619738,0.027658292,0.029502368,0.036763866,0.0330008,0.0307073,0.03216592,0.033084004,0.03633574,(s)
"","Hawaiian Trade Zone","Quad Btu",0.095,0.109,0.1,0.095,0.115,0.11,0.065,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
"","Honduras","Quad Btu",0.032986352,0.030986352,0.031986352,0.032986352,0.034,0.032,0.037027296,0.037023884,0.045010236,0.053010236,0.059010236,0.059,0.059989764,0.061054592,0.061058004,0.0649147,0.07333466,0.074320728,0.080150128,0.087672154,0.086016741,0.092116597,0.096517395,0.099392276,0.10905691988,0.11619960984,0.1203503034,0.1317059896,0.129249166,0.1225085092,0.130337712,0.135690508,0.146302508,0.146141812,0.144
"","Hong Kong","Quad Btu",0.2719764,0.2813176,0.2929764,0.3216352,0.3376116,0.3452468,0.3769056,0.4152232,0.4472232,0.4618584,0.4948584,0.5194228,0.57294,0.6106696,0.620824,0.6450128,0.6572252,0.6599076,0.6888368,0.8346608,0.8020256,0.8276608,0.8936136,0.919884,1.0278604,1.074188236,1.059740947,1.141634572,1.07474172576,1.237685344,1.331961624,1.240538536,1.171793016,1.160384428,1.119
"","Hungary","Quad Btu",1.1945664,1.1886608,1.18637647,1.2017316,1.1735084,1.2058732,1.2115084,1.258532,1.2249204,1.2198732,1.165885668,1.101749728,1.031541922,1.042323793,1.03509364,1.0561888,1.08644734,1.068135435,1.0713884,1.0667532,1.0346008,1.068563933,1.062768856,1.086583764,1.086014932,1.143402679,1.135734917,1.102187199,1.095177928,1.032857006,1.051174874,1.026285311,0.960980063,0.94306390235,(s)
"","Iceland","Quad Btu",0.0555194001645,0.054,0.057,0.061,0.065,0.065,0.067,0.069,0.073,0.076,0.077,0.074,0.076,0.081,0.082,0.084,0.091,0.094,0.104,0.112,0.117,0.12,0.125,0.125,0.129020044,0.129523047,0.143635018,0.163155808,0.212233762,0.21064256,0.212618296,0.212968712,0.205806784,0.206613967,(s)
"","India","Quad Btu",3.726873756,4.183696332,4.322754336,4.58070998,4.925679272,5.181713392,5.592474688,5.884999697,6.50648418,6.8648229,7.347420724,7.738944964,8.145345696,8.6434356,9.118118,9.694640112,10.12652124,10.608496878,10.996155582,11.646155756,12.065507007,12.477559596,12.948578022,13.620776601,14.477854338,15.5247556257,16.5704244712,17.9020778124,18.6840450103,20.1899658663,21.8486244793,22.9279490326,24.0734501714,24.0774139358,25.137
"","Indonesia","Quad Btu",1.154,1.257,1.29377359634,1.371,1.431,1.545,1.66,1.741,1.882,2.11,2.326,2.589,2.675,2.833041236,3.009041264,3.22805156,3.4430517,3.637051065,3.493050985,3.87805113,4.167061206,4.058082664,4.186111903,4.465153615,4.50920044,4.63438936,4.906815721,5.53478995368,5.52692684,5.796613492,6.127566104,6.210664328,6.667035412,7.044274276,(s)
"","Iran","Quad Btu",1.594,1.5,1.718,2.104,2.22,2.391,2.42,2.532,2.694,2.966,3.09,3.227,3.343,3.4633176,3.6703176,3.8133176,3.9486352,4.421294,4.5759528,4.823154392,5.271647837,5.681327722,6.01698759,6.196323707,6.461835834,7.573774066,8.000563457,8.282691052,8.52033117,9.446976272,9.31709952,9.70376984242,9.904850156,10.1469333231,(s)
"","Iraq","Quad Btu",0.524,0.483,0.462,0.551,0.538,0.566,0.622,0.639,0.767,0.825,0.918,0.623,0.839,0.964,1.103,1.131,1.125,1.042,1.056,1.074,1.012,1.07,1.007,0.895,1.1184356,1.265628352,1.07003301776,0.97662042976,1.0971416541,1.3032365848,1.47160022904,1.546353904,1.720075608,1.783561793,1.861
"","Ireland","Quad Btu",0.32,0.308,0.305,0.302,0.302,0.308,0.331,0.328,0.321,0.338,0.358,0.374,0.37305171,0.390288652,0.408330112,0.417268492,0.44891214,0.473296959,0.515300069,0.553786978,0.586409243,0.617106056,0.616669842,0.607941006,0.6304592,0.647223503,0.684178459,0.6780614,0.681044872,0.609772208,0.621925228,0.578303452,0.566733176,0.565785338,(s)
"","Israel","Quad Btu",0.3753176,0.3613176,0.3743176,0.3633176,0.3283176,0.3473176,0.3739764,0.41073939,0.43273844,0.447666496,0.460666406,0.469697816,0.490724758,0.54428567,0.57928588,0.62092469,0.6325768297,0.6638973569,0.6722435683,0.68329771775,0.74356515385,0.73179678285,0.77590153285,0.7990243607,0.81327269,0.775702157,0.801956247,0.835136844,0.818806936,0.830824404,0.897443608,0.87765358,0.913965532,0.896783557,(s)
"","Italy","Quad Btu",6.0318132,5.83012,5.722884,5.5708732,5.9563108,5.9715232,6.0607464,6.272089609,6.4407956,6.6226592416,6.668411612,6.811138688,6.828898562,6.788246235,6.718500488,7.007200464,7.05141238,7.130221195,7.336396352,7.465183842,7.520017618,7.563678327,7.585566833,7.809551784,8.001513038,8.043051123,8.002109441,7.897028988,7.848184108,7.321236108,7.606442572,7.348196472,6.994727732,6.638388269,6.621
"","Jamaica","Quad Btu",0.117550564174,0.0994912911231,0.0865540622454,0.0925891210192,0.07539896,0.067295428,0.068501408,0.072698073,0.08487754,0.096918016,0.103,0.104490492,0.114951464,0.116917501,0.121,0.13397964,0.136,0.144,0.148,0.152,0.146,0.146487952,0.150261452,0.156317471,0.157681496,0.152359764,0.170539264,0.179441348,0.173542332,0.12815248,0.11321948,0.119682364,0.116120428,0.116787777,0.12
"","Japan","Quad Btu",15.478,15.122,14.581,14.372,15.668,15.708,15.844010446,16.274010419,17.206010324,17.735010432,18.674010402,19.189010436,19.28120684,20.162268034,20.301350744,20.952484664,21.3416721,21.663990661,21.339071379,21.709388588,21.852,21.66,21.602,21.605,21.914,22.0534830549,22.2730524639,22.0550554007,21.0157794084,20.0863501682,21.0681601508,20.3927143478,19.9036068726,19.6230251481,19.301
"","Jordan","Quad Btu",0.077,0.092,0.105,0.112,0.116,0.119924936,0.129348938,0.140856761,0.131278748,0.135177344,0.146197638,0.137765888,0.160847872,0.159578307,0.18349594,0.193243128,0.205254596,0.198900024,0.214514304,0.214538358,0.225776182,0.220492094,0.22963398,0.250909058,0.27834063,0.29415458,0.308151329,0.290820832,0.29348363,0.290496208,0.302790576,0.306268164,0.317976764,0.337699747,(s)
"","Kazakhstan","Quad Btu",--,--,--,--,--,--,--,--,--,--,--,--,3.364768,2.89018,2.765178,2.380766,2.2177424,1.962938588,1.8923068,1.783298553,1.87628718,1.9201416,2.0053648,1.871882,2.1654936,2.195318663,2.392054729,2.34821746,2.485757476,2.207192732,2.377439592,2.711532272,2.718479452,2.714177731,(s)
"","Kenya","Quad Btu",0.0980236,0.101069161097,0.100633714421,0.0986824,0.0976824,0.1026824,0.1096824,0.1006824,0.1133412,0.1203412,0.1223412,0.1143412,0.1223412,0.1270236,0.1310236,0.1376824,0.1436824,0.1343412,0.1483412,0.1423412,0.1416824,0.1446824,0.1496824,0.1616824,0.169286608,0.1839349302,0.201995766,0.203071096,0.189059828,0.197315132,0.22331672,0.240030056,0.241742556,0.247392499,(s)
"","Kiribati","Quad Btu",0.000336,0.000398,0.000396,0.000397,0.000292,0.000292,0.000264311352164,0.000307884905589,0.00030704369,0.000307884905589,0.000307884905589,0.000367691286,0.00030704369,0.000306493785,0.000307884905589,0.000307884905589,0.00030704369,0.000307884905589,0.000307884905589,0.000307884905589,0.00035049819,(s),(s),(s),(s),0.00053605748,0.00053590247,0.000574053359916,0.000553174686167,0.000869840317,0.000869585967646,0.000869840317,0.000872223441156,0.001,0.001
"","Korea, North","Quad Btu",0.85,0.884,0.923,0.965,0.992,0.855,0.863,0.851,0.995,0.834,1.042,0.998,0.945,0.885,0.839,0.784,0.665,0.622,0.562,0.598,0.618,0.631,0.611,0.631,0.647,0.666996999,0.663927986,0.724944948,0.797236658,0.76878,0.745423096,0.562968688,0.57118134,0.580293701,0.643
"","Korea, South","Quad Btu",1.827,1.893,1.9,2.062,2.18,2.304,2.55,2.824,3.151,3.426,3.870010402,4.344010436,4.874020684,5.327030927,5.719030948,6.250020624,6.77403102,7.303847679,6.703662805,7.371104408,7.791173115,7.983196327,8.263223806,8.598337953,8.782571254,9.08431191694,9.24176558851,9.55850845623,9.67261918433,9.76311276802,10.5874092532,10.9895998938,11.1851156352,11.1316539817,11.255
"","Kosovo","Quad Btu",--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0.075
