,age_dependency_ratio_normalized,ages_65_and_older_percentage_normalized,agricultproductstotal-export_value_base_price_normalized,agricultproductstotal-import_value_base_period_price_normalized,annual_co_emissions_per_country_normalized,births_per_1000_normalized,co_emissions_per_capita_international_normalized,daily_per_capita_fat_supply_normalized,daily_per_capita_protein_supply_normalized,daily_per_capita_supply_of_calories_normalized,deaths_per_1000_normalized,democracy_scores_normalized,exports_of_goods_and_services_percentage_of_gdp_normalized,fertility_rate_normalized,food_excl_fish-export_value_base_price_normalized,food_excl_fish-import_value_base_period_price_normalized,gross_capital_formation_normalized,historical_gov_spending_gdp_normalized,imports_of_goods_and_services_percentage_of_gdp_normalized,infant_mortality_per_1000_normalized,life_expectancy_female_normalized,life_expectancy_male_normalized,life_expectancy_normalized,military_expenditure_as_share_of_gdp_normalized,population_estimates_and_projections_normalized,pupil-teacher_ratio_processed,rural_population_percentage_normalized,share_of_a_countrys_population_that_is_not_born_within_the_country_normalized,surface_area_sq_km,trade_as_share_of_gdp_normalized,young_pregnancies_normalized,gdp_in_15_years
Afghanistan : 1967,1.11793449156,0.524054277138,,,0.000133577895377,1.56396055308,0.000202360876897,0.00404299388286,0.00753278861626,0.00726025991291,1.56396055308,0.876706029933,0.564783097519,1.49781215025,,,0.230301555724,,1.13986010563,1.94096601073,0.613832793668,0.631330991091,0.622817385821,,0.00242599531021,,1.39811516245,,652860.0,0.0209827354617,1.80982805642,
Afghanistan : 1968,1.13261590914,0.515884963144,,,0.000120318866611,1.5567563218,0.000197031393669,0.0039547543701,0.00737999608623,0.00706706934592,1.5567563218,0.879515493461,0.692883486408,1.51425179562,,,0.285499483315,,1.17176430035,1.96408839779,0.614529167835,0.632597786042,0.623801668372,,0.0024262668547,,1.39689984215,,652860.0,0.0241100330718,1.840959454,
Afghanistan : 1969,1.14621065073,0.505767542973,,,8.62440417784e-05,1.58001152144,0.000109559024925,0.00389335399782,0.00739026965251,0.00706588729248,1.58001152144,0.86575340748,0.766468792797,1.53625654218,,,0.275662195215,,1.13690646899,2.08548707753,0.615613687902,0.633358645156,0.624734812719,,0.00242983101767,,1.3956697609,,652860.0,0.0250788642331,1.87250381201,
Afghanistan : 1970,1.15666069316,0.493904157603,,,0.000140223213215,1.59264155718,0.000189322226429,0.00349180273525,0.00628192398372,0.00605106872763,1.59264155718,0.861530232778,0.729823290642,1.56173902476,,,0.201992417565,,0.886733736985,2.11168032787,0.616937451997,0.634516645332,0.62599337078,0.00162960823603,0.00243785084351,41.2233200073,1.39391494212,0.00030113229369,652860.0,0.0217281100679,1.90209428356,
Afghanistan : 1971,1.17294999215,0.488281120864,,,0.000153409367407,1.6305386399,0.000176359067061,0.00320338294722,0.00625686361586,0.00598065334828,1.6305386399,0.868098813265,0.80655478579,1.59817202934,,,0.204616193581,,1.20407005289,2.11949685535,0.619111011441,0.636354903928,0.628014885124,,0.00244985038225,39.1053886414,1.39185419042,,652860.0,0.0270631374536,1.93256672083,
Afghanistan : 1972,1.18620658151,0.48139673973,,,0.000118477938302,1.65360047827,0.000128777472527,0.00314376936495,0.00652901295115,0.00637559906165,1.65360047827,0.911179439642,1.07360556304,1.64367700958,,,0.248164177226,,1.35303945152,2.11978609626,0.62196920019,0.63863174099,0.630589900595,,0.00246396893116,40.383140564,1.39014307672,,652860.0,0.0328690810352,1.95783081584,
Afghanistan : 1973,1.19724788943,0.473376531547,,,0.000120130159819,1.68376420625,0.000120603015075,0.00336926918559,0.0066626657379,0.0064817505729,1.68376420625,0.822392939956,0.843158820863,1.69129624341,,,0.264946372263,,1.00429428451,2.12582056893,0.625293675564,0.641515109615,0.633699074223,0.00186891033069,0.0024781749659,38.3216094971,1.38871344771,,652860.0,0.0276923087929,1.98114313431,
Afghanistan : 1974,1.20786338442,0.464123642765,,,0.000142005112184,1.72805266014,0.000168918918919,0.00347672938396,0.00657450349647,0.00644031021738,1.72805266014,0.818124819913,0.810222726309,1.73878636438,,,0.310351236203,,0.82572854984,2.12625698324,0.628202612818,0.644222363322,0.636516751616,0.00161082478544,0.00248991155796,37.2153701782,1.38802922634,,652860.0,0.0288659801552,2.00542415658,
Afghanistan : 1975,1.21814457465,0.453894715587,,,0.000158948789441,1.76141288047,0.000174687745655,0.00356308307023,0.00659645933201,0.00654332934678,1.76141288047,0.841304044575,0.773559089463,1.79314773747,,,0.370506118155,,0.845660101798,2.1228668942,0.631692006957,0.647852842195,0.640078600857,0.00172206576489,0.00249696155628,37.306930542,1.3861362179,0.00027687322671,652860.0,0.0269483576712,2.03370727626,
Afghanistan : 1976,1.23854206506,0.448691285485,,,0.000140376504288,1.80965917324,0.000174322321973,0.0036574212521,0.00668144355383,0.00663145856865,1.80965917324,0.837575996183,0.786588724248,1.8437247245,,,0.51069818766,,0.859160416974,2.11832946636,0.635610057542,0.65205381396,0.644135082911,0.00204608694763,0.00250091433308,35.7574691772,1.38440740581,,652860.0,0.0280869566605,2.06775296246,
Afghanistan : 1977,1.2601534398,0.44093718288,,,0.000164347899296,1.82702489858,0.000216132099939,0.00333241055645,0.00595570522734,0.00583602390683,1.82702489858,0.82596438895,0.690934525266,1.89076608505,,,0.4622947401,,0.851196709854,2.11229314421,0.639476665895,0.656776036749,0.648425811984,0.00201147473556,0.00250105759089,,1.38263890618,,652860.0,0.0264860798296,2.10785170479,
Afghanistan : 1978,1.28187915004,0.431243480994,,,0.000143060578261,1.84127218472,0.000171570730033,0.00329163811122,0.0061548709299,0.00607910490341,1.84127218472,0.825304486335,0.654206157166,1.93569338074,,,0.507300239291,,0.809999748873,2.09987966306,0.644332830621,0.662433934627,0.653670234541,,0.00249071880892,,1.3823564888,,652860.0,0.024713804033,2.13613020474,
Afghanistan : 1979,1.30090821978,0.420594622549,,,0.000143923834847,1.84703178755,0.000169319336268,0.00335369635846,0.0060809480042,0.00603855830284,1.84703178755,0.640401231528,,1.97037450111,,,,,,2.08567931457,0.649388513602,0.668555573078,0.659247149946,,0.00246164953808,,1.38352111265,,652860.0,,2.16595319877,
